text,label
"With the 2-1 loss to Algeria, Jordan are officially eliminated from the World Cup",news
"Jordan win the World Cup, Asian cup and Arab cup if set pieces (especially pens) didn’t exist",reaction
"That is absolutely rough to see them going out that early. The momentum was on their side for the first half and that early chance, but alas",reaction
"I couldn't care too much about playing [France]. ... They're probably going to win against us, they're probably going to win the whole tournament.",hot take
He’s just there for the vibes. I rate it.,reaction
"following the 3-2 win over Senegal, Norway confirm their place in the knockouts for the first time since 1998",news
It's insane how quickly he reacts to the rebound's trajectory. Almost zero pause before he starts moving again.,reaction
Egypt's Mo Salah singing and dancing in the streets of Vancouver with fans and fellow teammates.,news
I have always said those players – and I’m really not racist – but Black players lack the concentration to last more than 60 to 80 minutes,hot take
It’s time for the world to stop hiding and accept the fact that Messi is the greatest of all time.,hot take
Atletico Madrid statement: “There is no amount of money for which Barça can buy Julián Álvarez. Either they pay the release clause for €500m or there is no deal.”,news
"Lionel Messi becomes the all time leading goalscorer in FIFA World Cup history (17), surpassing his joint record with Miroslav Klose of 16 goals.",news
"Turkey have been knocked out of the World Cup following their loss to Paraguay. They still have one match left against the USA, but their qualification hopes are officially gone.",news
"No goals against Australia and Paraguay in 180+ minutes , the latter playing with 10 men for an entire half is crazy work",reaction
The worst team of this world cup by far. Even Haiti was eliminated with dignity,hot take
This coach is getting sacked before dawn,hot take
That was the most heated game I’ve seen in some time. Pure entertainment. Referee took absolutely no shit.,reaction
France Vs Iraq match suspended due to inclement weather,news
I thought they liked hydration breaks? What are they stupid?,reaction
It has been absolutely raining buckets here in philly on and off. Water just dumping out of the sky,news
"Vilifying a man for wanting to be there when his first kid is born, when any man would be vilified for not being there when his first kid is born in any other context. Fucking weird from L’Equipe. Fuck them.",reaction
Messi's goal shouldn't have stood because of a foul in the build up of the goal,hot take
Lionel Messi penalty miss against Austria 8',news
"It was a choice to take a clearly out-of-form, and far from sharp John Stones. Guehi HAS to start and konsa has to start taking charge.",hot take
Our attack is one of the best in the tournament imo but I worry when our defence comes up against a france or Argentina,reaction
History for Curaçao as they earn their first-ever World Cup point! What a moment for the smallest country to EVER qualify for the World Cup,news
The President of Turkish Football Federation has called on the Justice Minister to imprison those who criticize the national team.,news
Iran forced to leave US immediately after World Cup draw with New Zealand,news
I doubt Infantino has done a single thing to try and help anyone that has a net worth under $1 billion.,hot take
Begging on your knees with the Iranian government to open the strait and then going behind their backs to mistreat their athletes is this the art of the deal?,reaction
The US is a global embarassement.,hot take
Hosting a world cup when you seem to hate the rest of the world is mental.,hot take
"if you're saying something to someone that you don't want to be seen, I think it's safe to say it shouldn't be said.",reaction
Aston Villa are determined to ignore all interest in Morgan Rogers unless they receive offers well above £100m,news
I mean that is not shocking with the prices going around this summer,reaction
White boys have no moral superiority over anyone else after fully funding a genocide.,hot take
Cucurella's wife is receiving threats following the player's signing with Real Madrid,news
"Man some people are weird, it's just football lol.",reaction
"‘It’s different, the freedom I have’: Cody Gakpo leaves behind Liverpool struggles with World Cup show",news
Cody I see no difference in what you’re doing except the opposition is ass,reaction
The insane ticket prices werent enough money for FIFA so they had to put this bullshit too,reaction
Dirty bastard if true,reaction
If only i had the skills of giving such answers in my meetings lmao,reaction
"Mboop, unlike 99% of other footballers, seems to have a thinking capacity outside of football.",hot take
Man the World Cup is the best,reaction
"Ronaldo was finished in 2022, everyone could see.",hot take
As soon as Messi scored a hat trick I knew Ronnie would make today all about himself.,reaction
Aussies were playing really dirty I was surprised,reaction
Australian players/fans did way too much talking before this game. You become unconsciously overconfident when you do that. Not enough respect given.,reaction
Brighton spending as much as Portugal just on the wings,news
And people think the Saudis ruined European soccer lol,reaction
The PL and its consequences have been a disaster for European football.,hot take
nah why was szoboszlai beefing with a teenager the day before his wedding,reaction
Just saw Dani Alves is being freed and let go on appeal despite a cartoonish amount of evidence against him?,reaction
If a Soulless southern club like Bournemouth or Brighton wins the cup I'm retiring from the beautiful game for good,reaction
"Real Madrid will activate their buy-back clause for Nico Paz at €10M in the next few days. After that, the club values him at €60M.",news
"60m for Paz makes sense, 40m for fucking Curtis Jones is a joke, let alone the fact that he has 1 year contract left.",hot take
It's getting out of hand. By the quarters Argentina will be leaving a player's newborn and a full 12 foot party sub.,hot take
At this point I want a team to absolutely thrash their locking room ala Guns N Roses in 88 just for the shits and giggles,reaction
"I am gonna play devil's advocate but I don't think the players themselves do all that, they probably have a PR Manager and a crew.",hot take
Performative nonsensw,reaction
Fuck I would destroy that box of baklava,reaction
[The Times] Fifa wants to change the rules on penalty shoot-outs before the knockout rounds start at this World Cup so that a team either choose to take the first spot kick or to do it in front of their own fans,news
Should have always been the rule. Having two coin tosses is stupid.,hot take
"Weirdly, a FIFA-mandated change that I don't disagree with. Can't really see a huge issue with this. Also interesting to see which translates over time to more success in the shootout - I'd say going first?",reaction
"Enzo Fernández is the chosen one for the midfield. Real Madrid has decided in recent hours to pursue the Argentine. Futhermore, the deal for Mateus Fernández has been ruled out because the 21-year-old prefers to go to Tottenham.",news
Disgusted with this decision by our board. Fuck you Perez.,reaction
Real Madria is Galactico of Jerks,hot take
A player preferring Spurs over Madrid is the first sign of the apocalypse by the way.,hot take
"Endrick: “Ancelotti won’t do what’s best for Endrick, he won’t do what’s best for the fans... he’ll do what’s best for the team.”",news
"BREAKING: Ancelotti just informed Endrick he will be starting against Scotland. The expected attack for Brazil is now Vini, Cunha and Ancelotti",news
Don't forget the not given red card. Protected by FIFA.,hot take
"Ronaldo will show up bald tomorrow, he’ll be pulling his hair out. Messi cementing GOAT status even more this World Cup",hot take
"Just like 2022, FIFA and Messi, unstoppable duo.",hot take
"I mean the bias towards Argentine players is so clear. Just give them the World Cup already, literally 3 yellow cards weren’t shown so far this game",reaction
"A severe thunderstorm delays the France-Iraq match. There must be no further lightning strikes detected within the eight-mile radius for a full 30 minutes before play is permitted to resume. If there is another strike, the clock resets to 30 minutes.",news
What if it was Iran match?,reaction
Sure this isn't the Iraq keeper? He doesn't know how to play.,hot take
Fucking disgusting performance. Looks like Senegal,reaction
THIS REF SUCKS OIL MONEY AT IT AGAIN,reaction
How are arsenal genuinely playing the most piss boring football of all time every match?,reaction
"Come on, the refs clearly overcompensating now",reaction
Fallon D’ floor contender once again from Saka,reaction
Haaland disappears every time he plays a top team.,hot take
Barcelona should sell half their squad and start over.,hot take
This is the worst World Cup officiating we've ever seen.,hot take
Bellingham is already better than Gerrard ever was.,hot take
What on earth did I just watch?,reaction
Uruguay have been so disappointing this tournament.,reaction
I expected much more from this team.,reaction
This team is allergic to defending.,reaction
My weekend is officially ruined.,reaction
Argentina would never have won without the referees.,reaction
Argentina have won their third World Cup title at the 2022 FIFA World Cup in Qatar!,news
Maradona passed away at the age of 60,news
"Jurgen Klopp: “I don’t understand politics, I don’t understand the coronavirus. Why ask me? All I do is wear a baseball cap and a patchy beard. Celebrities shouldn’t speak on these serious issues. Leave it to the experts.”",news
Someone should tell that man he looks like a woman,hot take
Aggression of this magnitude should be promptly dealt with.,hot take
"Di María: ""Memes hurt us a lot, going to the psychologist helped me""",news
Well then u shouldn’t shush the stadium until the game is over if u can’t handle it,reaction
"You knew he was going to do something eventually, 41 still scoring at a world cup is crazy",reaction
"People trashing Ronaldo in the match thread. Here you fucking go. This is Ronaldo. No touches with no service, but when he does get it, it's done.",reaction
Portugal without Ronaldo would be like a man born blind being able to see for the first time at the age of 58,hot take
Ronaldo is the god of shittalk. Never seen a grown man act so hard like a teen who begs for attention. Bro couldnt past the age 13 mentally.,hot take
"I agree, becauae then dumb kids like you wouldn't waste ppls time",reaction
Maybe it's just because Ronaldo is an asshole.,hot take
The Bruno goal against City still has me scratching my head,reaction
Transfer news - Romania: A Cameroonian striker bought for two metal containers,news
Britons urged not to attend football matches in stadiums and to 'prioritise' events that 'matter to them',news
"I wish these non-soccer fan idiots would stop calling them ""Team USA"". This isn't the fucking Olympics...it's the US National Team...dumbasses.",hot take
"I woulda put ""Pulisic kicked in the dick. Nether loins vs Netherlands on Saturday""",reaction
love all the headlines in the genre of 'society is crumbling around us' framed around the world cup story.,reaction
Brescia Calcio sacks Filippo Inzaghi for the second time,news
Lamine will score more goals than Ronaldo this wc,hot take
Seems to be an unpopular opinion but getting a card just for covering mouth while talking to your opponent feels like game's gone,hot take
"No offense bro, but it seems you’re basing this conclusion on absolutely fuckall.",reaction
How shit are Sweden that they only put 5 past this team?,reaction
Will Messi be problem for dictator mbappe?,reaction
Lamine Yamal raises Palestine Flag during parade,news
fuck the Zionist regime.,hot take
The oppressed understand oppression the most,hot take
Manchester United have completed the signing of the defender on a five-year contract.,news
UEFA has announced the officials for tomorrow's Champions League final.,news
That save was absolutely ridiculous.,reaction
This signing is going to be a complete flop.,hot take
Cherry on top is spurs got relegated,reaction
"Manchester United has been eliminated from League Cup by Grimsby Town ,who plays in the 4th league of England",news
Sack Amorim,hot take
United is just rotten. Feel bad for Amorion.,reaction
"Jürgen Klopp: ""Football is being held hostage by executives in air-conditioned offices. These so-called 'cooling breaks' were sold to us as a shield for the players' well-being, a noble sword against the heat. But in reality? It's nothing more than a gilded cage built for sponsors.""",news
Free Palestine,hot take
Weird how Russia was like instantly banned from sporting events meanwhile Israel is still playing in qualifiers for a continent they aren't even apart of.,hot take
The dismantling of Israel - utterly beautiful.,reaction
"Kvara is absolutely world class and a ""bargain"" for PSG if you see this summer's transfer fees",hot take
"Goalkeeper in Istanbul's amateur league hit a seagull; a player performed CPR, resuscitated it, and handed it to medical staff.",news
"I love how persistent he was with saving the bird, this guy is a legend",reaction
Goalkeeper takes out a winger.,hot take
Pep is the absolute goat of managers.,hot take
Leaving barcelona was neymar's worst decision,hot take
Mbappe is cursed for UCL. Wherever he goes he knocks him team out LOL,hot take
Messi is the absolute GOAT of football.,hot take
Homeland Security is changing guidelines for Iran soccer team's next match,news
Mexico and USA Watch Parties Added to Soccer Capital Summer,news
Tottenham are just shit. I hoped they'd relegated,reaction
Watching turkey play was painful. How can any team be this frustrating?,reaction
Turkey and Equador aren't drak horse for this worldcup they are bright as the fucking sun in a black background.,hot take
Casemiro joins Inter Miami,news
"""He is just a player as us, we have ways to stop him"", says Netherland's goal keeper",news
By donating just two tired old jokes a month you could save the lives of hundreds of professional footballers who have gone days without banter.,reaction
Canadian broadcast awkwardly cuts to the hydration break commercials,news
Fox likely making upwards of $250M on hydration break ads during World Cup,news
"""BREAKING news - Virgil Van Dijk has left the Southampton training ground in the back of a blacked out car. Where’s he off to?""",news
Argentina's squad and head of FA asked Sampaoli to step aside immediately,news
 Chelsea fans have signed a 1-year extension to remain at the club after being strongly linked to Man City.,news
Chelsea fans have always seemed much more confined to London than fans of some other teams.,hot take
"Bale: ""Football is a job for me, and golf is my love, I don't have any pressure on me except for the one I put on myself. The ball has become business, everything is based on score. All I want is to spend time with my friends and play golf. It's practically all I do, because it makes me happy.""",news
West Ham have agreed a deal to sign Jesse Lingard on loan from #MUFC for the rest of the season,news
Hugo Lloris has been ruled out until January,news
The Leicester City helicopter just crashed in the club car park,news
"Messi is no leader, he just isn't",hot take
"Argentina is garbage, Ronaldo is far better than Messi",hot take
Jose Mourinho is appointed as the new Manchester United manager,news
"Akanji denies transfer news from Fabrizio, and Fabrizio deletes the post",news
"Football legend Kevin Keegan diagnosed with cancer, family says",news
The Premier League is likely to opt out of a new law change which would allow VAR to assess whether a corner should be awarded,news
I just fucking hate Everton,reaction
"There will be forever eternal hate, U.C Sampdoria rot in hell",reaction
"Ilombe Mboyo, fuck that guy and Jelle Vossen, fuck him too. Terrible players",reaction
Ibra just disgusts me. Who even let him play football,reaction
"Michael Carrick, ""I hate the word philosophy""",news
"Can't wait to hear fans chant ""philosophy"" at him during matches. Will be absolutely rattled",reaction
alot of the referee's don't even know the rules themselves,hot take
MLS' Crew to Sell 37% Stake to Nationwide at $900M Valuation,news
From sideshow to goldmine: the rise of (sell on) clauses,news
Liverpool footballer Diogo Jota dies in a traffic accident early this morning in the province of Zamora,news
This is so incredibly shocking. Can only feel for everyone around him and all Portuguese and Liverpool supporters. Genuinely cant comprehend this news. RIP.,reaction
Newcastle United supporters trembling in fear and terror.,reaction
Haaland looking like he's about to invade the north of england,hot take
"Manchester United has been eliminated from League Cup by Grimsby Town ,who plays in the 4th league of England",news
Anthony Gordon becomes an FC Barcelona player,news
Victor Osimhen has been offered to Barcelona through intermediaries. However Barça is not considering his signing as a priority option to strengthen the attack. Julián Álvarez is still the priority in attack for Barça.,news
"Joan Laporta, has personally become involved in the Julián Álvarez operation. In recent days, he held a conversation with Fernando Hidalgo, Álvarez’s representative.",news
